,ID,Updated,Confirmed,Confirmed_Change,ISO3
0,7159711,2020-01-25,1,0,CAN
1,7159713,2020-01-26,1,0,CAN
2,7159715,2020-01-27,2,1,CAN
3,7159717,2020-01-28,3,1,CAN
4,339668,2020-01-29,3,0,CAN
5,339669,2020-01-30,3,0,CAN
6,7159719,2020-01-31,4,1,CAN
7,339671,2020-02-01,4,0,CAN
8,339672,2020-02-02,4,0,CAN
9,339673,2020-02-03,4,0,CAN
10,7159721,2020-02-04,5,1,CAN
11,7159724,2020-02-05,5,0,CAN
12,7159726,2020-02-06,7,2,CAN
13,5469130,2020-02-07,7,0,CAN
14,339678,2020-02-08,7,0,CAN
15,339679,2020-02-09,7,0,CAN
16,339680,2020-02-10,7,0,CAN
17,339681,2020-02-11,7,0,CAN
18,7159728,2020-02-12,7,0,CAN
19,7159730,2020-02-13,7,0,CAN
20,7159733,2020-02-14,8,1,CAN
21,339685,2020-02-15,8,0,CAN
22,339686,2020-02-16,8,0,CAN
23,339687,2020-02-17,8,0,CAN
24,339688,2020-02-18,8,0,CAN
25,7159735,2020-02-19,8,0,CAN
26,7159737,2020-02-20,9,1,CAN
27,339691,2020-02-21,9,0,CAN
28,339692,2020-02-22,9,0,CAN
29,7159739,2020-02-23,10,1,CAN
30,7159741,2020-02-24,11,1,CAN
31,7159743,2020-02-25,11,0,CAN
32,7159746,2020-02-26,12,1,CAN
33,7159748,2020-02-27,14,2,CAN
34,7159750,2020-02-28,16,2,CAN
35,7159753,2020-02-29,20,4,CAN
36,7159755,2020-03-01,24,4,CAN
37,7159757,2020-03-02,27,3,CAN
38,7159759,2020-03-03,33,6,CAN
39,7159761,2020-03-04,34,1,CAN
40,7159763,2020-03-05,48,14,CAN
41,7159765,2020-03-06,54,6,CAN
42,7159767,2020-03-07,60,6,CAN
43,7159770,2020-03-08,67,7,CAN
44,7159772,2020-03-09,79,12,CAN
45,7159774,2020-03-10,97,18,CAN
46,7159776,2020-03-11,118,21,CAN
47,7159777,2020-03-12,159,41,CAN
